id	rank	title	authors	year	venue	layer	recency	status	local	pdf_url	pedra_hook
R021	21	Ribbon filter: practically smaller than Bloom and faster	Dillinger, Walzer	2021	arXiv 2103.02515	ds	recent	listed		https://arxiv.org/pdf/2103.02515	Rocks shipped this; we have Bloom only
R022	22	REMIX: Efficient Range Query for LSM-trees	Zhong, Chen, Wu, Jiang	2021	FAST	engine	recent	listed		https://www.usenix.org/system/files/fast21-zhong.pdf	range amp
R023	23	Disco: A Compact Index for LSM-trees	Zhong, Chen, Wu, Eriksson	2025	SIGMOD	engine	recent	listed		https://dl.acm.org/doi/10.1145/3709683	multi-run compact index
R024	24	GRF: A Global Range Filter for LSM-Trees with Shape Encoding	Wang, Guo, Yang, Zhang	2024	SIGMOD	engine	recent	listed			one filter across runs
R025	25	Moose: Enabling Data Continuums via Fine-grained LSM-tree Tuning	Liu et al.	2024	SIGMOD	engine	recent	listed			per-level knobs; DST-hostile if we copy blindly
R026	26	RusKey: Accelerating LSM-tree with Modern Devices	Mo et al.	2023	SIGMOD	engine	recent	listed			device-aware; steal only portable bits
R027	27	Rethinking The Compaction Policies in LSM-trees	Wang et al.	2025	SIGMOD	engine	recent	listed		https://people.iiis.tsinghua.edu.cn/~huanchen/publications/ecotune-sigmod25.pdf	when to compact (EcoTune)
R028	28	How to Grow an LSM-tree? Towards Bridging the Gap Between Theory and Practice	Mo, Luo, Idreos	2025	SIGMOD	engine	recent	listed		https://arxiv.org/pdf/2504.17178	vertical vs horizontal growth
R029	29	SplinterDB: Closing the Bandwidth Gap for NVMe Key-Value Stores	Conway, Gupta, Chidambaram et al.	2020	ATC	engine	recent	listed		https://www.usenix.org/system/files/atc20-conway.pdf	NVMe-first alternative to LSM
R030	30	SplinterDB and Maplets: Improving the Tradeoffs in Key-Value Store Compaction Policy	Conway, Farach-Colton, Johnson	2023	SIGMOD	engine	recent	listed			compaction policy on Bε-tree
R031	31	Lethe: A Tunable Delete-Aware LSM Engine	Sarkar, Papon, Staratzis, Athanassoulis	2020	SIGMOD	engine	recent	listed		https://dl.acm.org/doi/10.1145/3318464.3389757	tombstones that actually disappear
R032	32	Real-Time LSM-Trees for HTAP Workloads	Saxena, Golab, Idreos, Ilyas	2023	ICDE	htap	recent	have-pdf	docs/references/realtime-lsm-htap-2022.pdf		LASER; not a second primary
R033	33	SuRF: Practical Range Query Filtering with Fast Succinct Tries	Zhang, Lim, Leis et al.	2018	SIGMOD	ds	canonical	listed			range filter
R034	34	Rosetta: A Robust Space-Time Optimized Range Filter for Key-Value Stores	Luo et al.	2020	SIGMOD	ds	recent	listed			range filter
R035	35	ElasticBF: Fine-grained and Elastic Bloom Filter Towards Efficient Read for LSM-tree	Li et al.	2019	ATC	ds	canonical	listed		https://www.usenix.org/system/files/atc19-li-yongkun.pdf	hotness-aware Bloom memory
R036	36	TRIAD: Creating Synergies Between Memory, Disk and Log	Balmau et al.	2017	ATC	engine	canonical	listed		https://www.usenix.org/system/files/conference/atc17/atc17-balmau.pdf	defer compact until overlap is worth it
R037	37	KVell: the Design and Implementation of a Fast Persistent Key-Value Store	Lepers, Balmau, Schiper, Zwaenepoel	2019	SOSP	engine	canonical	listed		https://dl.acm.org/doi/10.1145/3342195.3387522	no-compact NVMe store; contrast
R038	38	FASTER: A Concurrent Key-Value Store with In-Place Updates	Chandramouli et al.	2018	SIGMOD	engine	canonical	listed			hybrid log; in-place hot
R039	39	Rethinking LSM-tree based Key-Value Stores: A Survey	Lv, Li, Xu, Gao, Yang, Wang, Xue	2025	arXiv 2507.09642	engine	recent	listed		https://arxiv.org/pdf/2507.09642	2020–2025 map; not a primary
R040	40	Dynamic read & write optimization with TurtleKV	Astolfi, Silai, Huye, Liu, Sambasivan, Bater	2026	VLDB (accepted)	engine	recent	listed		https://arxiv.org/pdf/2509.10714	newest hybrid claim; verify camera-ready
R041	41	Large-scale Incremental Processing Using Distributed Transactions and Notifications	Peng, Dabek	2010	OSDI	layer	canonical	have-pdf	docs/references/percolator-osdi2010.pdf	https://www.usenix.org/legacy/event/osdi10/tech/full_papers/Peng.pdf	OCC + oracle + 2PC on KV
R042	42	Spanner: Google's Globally-Distributed Database	Corbett et al.	2012	OSDI	dist	canonical	listed		https://research.google.com/archive/spanner-osdi2012.pdf	TrueTime; what we will not pretend to have
R043	43	FoundationDB: A Distributed Unbundled Transactional Key Value Store	Zhou, Wheatman, et al.	2021	SIGMOD	dist	recent	listed		https://www.foundationdb.org/files/fdb-paper.pdf	Montanha face + DST
R044	44	FoundationDB Record Layer: A Multi-Tenant Structured Datastore	Chrysafis et al.	2019	SIGMOD	layer	canonical	listed		https://www.foundationdb.org/files/record-layer-paper.pdf	indexes as KV projections
R045	45	CockroachDB: The Resilient Geo-Distributed SQL Database	Taft et al.	2020	SIGMOD	layer	recent	listed		https://dl.acm.org/doi/10.1145/3318464.3386134	SQL + Multi-Raft + Pebble
R046	46	Enabling the Next Generation of Multi-Region Applications with CockroachDB	Taft et al.	2022	SIGMOD	dist	recent	listed		https://www.cockroachlabs.com/pdf/SIGMOD2022.pdf	declarative multi-region
R047	47	CockroachDB Serverless: Sub-second Scaling from Zero with Multi-region Cluster Virtualization	Swenson, Kimball et al.	2025	SIGMOD	dist	recent	listed		https://dl.acm.org/doi/10.1145/3722212.3724432	multi-tenant virtualization; not P0
R048	48	TiDB: A Raft-based HTAP Database	Huang et al.	2020	VLDB	layer	recent	have-pdf	docs/references/tidb-raft-htap-vldb2020.pdf	https://www.vldb.org/pvldb/vol13/p3072-huang.pdf	learner = fold/column path
R049	49	OceanBase: A 707 Million tpmC Distributed Relational Database	Yang et al.	2022	VLDB	layer	recent	listed		https://www.vldb.org/pvldb/vol15/p3385-yang.pdf	LSM in a distributed RDBMS
R050	50	OceanBase Paetica: A Hybrid Shared-Nothing/Shared-Everything Database	Yang et al.	2023	VLDB	dist	recent	listed			single-node and distributed in one product
R051	51	Magma: A High Data Density Storage Engine Used in Couchbase	Lakshman et al.	2022	VLDB	engine	recent	listed		https://www.vldb.org/pvldb/vol15/p3496-lakshman.pdf	LSM + segmented log hybrid
R052	52	In Search of an Understandable Consensus Algorithm	Ongaro, Ousterhout	2014	ATC	dist	canonical	listed		https://raft.github.io/raft.pdf	pedradb-raft
R053	53	Calvin: Fast Distributed Transactions for Partitioned Database Systems	Thomson, Diamond, Weng, Ren, Shao, Abadi	2012	SIGMOD	dist	canonical	listed			deterministic apply alternative to OCC
R054	54	Amazon Aurora: Design Considerations for High Throughput Cloud-Native Relational Databases	Verbitski et al.	2017	SIGMOD	layer	canonical	listed			log is the database
R055	55	The Snowflake Elastic Data Warehouse	Dageville et al.	2016	SIGMOD	layer	canonical	listed			disagg warehouse; FDB is a later layer
R056	56	Scalable Leader Leases For Multi Consensus Groups in CockroachDB	Cockroach Labs	2026	SIGMOD	dist	recent	listed		https://assets.ctfassets.net/00voh0j35590/2EHUM3hbvPrvrYle4IAB5c/f5ad2be3b27726d04715e40785dd086c/leader-leases-paper-2.pdf	Multi-Raft leases
R057	57	Sharding the Shards: Managing Datastore Locality at Scale with Akkio	Annamalai et al.	2018	OSDI	dist	canonical	listed		https://www.usenix.org/system/files/osdi18-annamalai.pdf	placement vs shard count
R058	58	F1: A Distributed SQL Database That Scales	Shute et al.	2013	VLDB	layer	canonical	listed		https://research.google.com/pubs/archive/41344.pdf	SQL on Spanner-class KV
R059	59	CaaS-LSM: Compaction-as-a-Service for LSM-based Key-Value Stores in Storage Disaggregated Infrastructure	Yu, Guo, Zhuang, Thakkar, Wang, Cao	2024	SIGMOD	engine	recent	listed			offload compact; only after local is boring
R060	60	SpanDB: A Fast, Cost-Effective LSM-tree Based KV Store on Hybrid Storage	Chen, Ruan, Li, Ma, Xu	2021	FAST	engine	recent	listed		https://www.usenix.org/system/files/fast21-chen.pdf	WAL on fast device
R061	61	Benchmarking Cloud Serving Systems with YCSB	Cooper, Silberstein, Tam, Ramakrishnan, Sears	2010	SoCC	test	canonical	listed		https://www.cs.cmu.edu/~harchol/Papers/ycsb.pdf	name the workload or do not claim
R062	62	Key-Value Storage Engines (tutorial)	Idreos, Callaghan	2020	SIGMOD	engine	recent	listed			shared vocabulary with Rocks team
R063	63	LogStore: A Cloud-Native and Multi-Tenant Log Database	Cao et al.	2021	SIGMOD	layer	recent	listed			multi-tenant log; stream product
R064	64	DiffKV: Differentiated Incremental Processing of Key-Value Stores	Li et al.	2021	ATC	engine	recent	listed		https://www.usenix.org/system/files/atc21-li-yongkun.pdf	hot/cold paths inside LSM
R065	65	Dremel: Adaptive Configuration Tuning of RocksDB KV-Store	Zhao, Chugh, Min, Liu, Krishnamurthy	2022	POMACS	engine	recent	listed			auto-tune; offline only
R066	66	HTAP Databases: A Survey	Zhang, Li, Zhang, Zhang, Feng	2024	arXiv 2404.15670	htap	recent	have-pdf	docs/references/htap-databases-survey-arxiv2404.15670.pdf	https://arxiv.org/pdf/2404.15670	triangle doctrine
R067	67	A survey on hybrid transactional and analytical processing	Song, Zhou, Cui, Peng, Li	2024	VLDBJ	htap	recent	listed		https://link.springer.com/content/pdf/10.1007/s00778-024-00858-9.pdf	independent survey; cross-check R066
R068	68	ByteHTAP: ByteDance's HTAP System with High Data Freshness and Strong Data Consistency	Chen et al.	2022	VLDB	htap	recent	have-pdf	docs/references/bytehtap-vldb2022.pdf		production composed/converged point
R069	69	veDB-HTAP	Chen et al.	2025	VLDB	htap	recent	have-pdf	docs/references/vedb-htap-vldb2025.pdf		newest industry HTAP
R070	70	PolarDB-IMCI: A Cloud-Native HTAP Database System at Alibaba	Wang et al.	2023	SIGMOD	htap	recent	have-pdf	docs/references/polardb-imci-sigmod2023.pdf	https://arxiv.org/pdf/2305.08468	planner routing
R071	71	Polynesia: Enabling Effective Hybrid Transactional/Analytical Databases with Specialized Hardware/Software Co-Design	Boroumand, Ghose, Oliveira, Mutlu	2022	ICDE	htap	recent	have-pdf	docs/references/polynesia-icde2022.pdf		PIM; negative for Pedra P0
R072	72	PUSHtap	Zhao et al.	2025	ASPLOS	htap	recent	have-pdf	docs/references/pushtap-asplos2025.pdf	https://arxiv.org/pdf/2508.02309	hardware HTAP; negative for P0
R073	73	HaSiS	Huang et al.	2025	FAST	htap	recent	have-pdf	docs/references/hasis-fast2025.pdf		CSD single-index; negative for P0
R074	74	HyPer: A Hybrid OLTP&OLAP Main Memory Database System Based on Virtual Memory Snapshots	Kemper, Neumann	2011	ICDE	htap	canonical	listed			fork snapshot; isolation vs RAM
R075	75	Diva: Making MVCC Systems HTAP-Friendly	Kim et al.	2022	SIGMOD	htap	recent	listed			version chains kill scans
R076	76	Hybrid Transactional/Analytical Processing: A Survey	Özcan, Tian, Tözün	2017	SIGMOD (tutorial)	htap	canonical	listed			historical baseline
R077	77	Proteus: Autonomous Adaptive Storage for Heterogeneous Workloads	Abebe, Lazu, Daudjee	2022	SIGMOD	htap	recent	listed			adaptive layout
R078	78	The SAP HANA Database -- An Architecture Overview	Färber et al.	2012	IEEE DEB	htap	canonical	listed			delta+main ancestor
R079	79	HYRISE: A Main Memory Hybrid Storage Engine	Grund et al.	2010	VLDB	htap	canonical	listed			column groups
R080	80	Bridging the Archipelago between Row-Stores and Column-Stores for Hybrid Workloads	Arulraj, Pavlo, Menon	2016	SIGMOD	htap	canonical	listed			TILE; layout as first-class
R081	81	H2O: A Hands-free Adaptive Store	Alagiannis, Idreos, Ailamaki	2014	SIGMOD	htap	canonical	listed			adaptive storage
R082	82	ARIES: A Transaction Recovery Method Supporting Fine-Granularity Locking and Partial Rollbacks Using Write-Ahead Logging	Mohan, Haderle, Lindsay, Pirahesh, Schwarz	1992	TODS	tx	canonical	listed			WAL vocabulary; Pedra is Rocks-shaped not ARIES-shaped
R083	83	A Critique of ANSI SQL Isolation Levels	Berenson, Bernstein, Gray, Melton, O'Neil, O'Neil	1995	SIGMOD	tx	canonical	listed		https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/tr-95-51.pdf	name phenomena, do not invent levels
R084	84	Serializable Isolation for Snapshot Databases	Cahill, Röhm, Fekete	2008	SIGMOD	tx	canonical	listed			SSI original
R085	85	Serializable Snapshot Isolation in PostgreSQL	Ports, Grittner	2012	VLDB	tx	canonical	listed		https://www.vldb.org/pvldb/vol5/p1850_danrkports_vldb2012.pdf	SSI as shipped in a real engine
R086	86	On Optimistic Methods for Concurrency Control	Kung, Robinson	1981	TODS	tx	canonical	listed			OCC; Pedra tx.rs
R087	87	MODIST: Transparent Model Checking of Unmodified Distributed Systems	Yang, Chen, Wang, et al.	2009	NSDI	test	canonical	listed		https://www.usenix.org/legacy/event/nsdi09/tech/full_papers/yang/yang.pdf	DST ancestor
R088	88	All File Systems Are Not Created Equal: On the Complexity of Crafting Crash-Consistent Applications	Pillai, Chidambaram, Alagappan et al.	2014	OSDI	test	canonical	listed		https://www.usenix.org/system/files/conference/osdi14/osdi14-paper-pillai.pdf	rename/fsync folklore is false
R089	89	Protocol-Aware Recovery for Consensus-Based Storage	Alagappan, Ganesan, Lee, Arpaci-Dusseau, Arpaci-Dusseau	2018	OSDI	test	canonical	listed		https://www.usenix.org/system/files/osdi18-alagappan.pdf	Raft/Montanha log recovery
R090	90	Naiad: A Timely Dataflow System	Murray, McSherry, Isaacs, Isard, Barham, Abadi	2013	SOSP	layer	canonical	listed		https://dl.acm.org/doi/10.1145/2517349.2522738	incremental fold vocabulary
R091	91	EXPLODE: a Lightweight, General System for Finding Serious Storage System Errors	Yang, Sar, Twohey, Aiken, Engler	2006	OSDI	test	canonical	listed		https://www.usenix.org/legacy/event/osdi06/tech/full_papers/yang/yang.pdf	storage model checking
R092	92	Designing Access Methods: The RUM Conjecture	Athanassoulis, Kester, Maas, Stoica, Idreos, et al.	2016	EDBT	ds	canonical	listed		https://openproceedings.org/2016/conf/edbt/paper-12.pdf	read/update/memory triangle
R093	93	Design Continuums and the Path Toward Self-Designing Key-Value Stores that Know and Learn	Idreos et al.	2019	CIDR	ds	canonical	listed			knob continuum; pair with Endure
R094	94	Linearizability: A Correctness Condition for Concurrent Objects	Herlihy, Wing	1990	TOPLAS	tx	canonical	listed			what get_strong means
R095	95	Paxos Made Live: An Engineering Perspective	Chandra, Griesemer, Redstone	2007	PODC	dist	canonical	listed			engineering of consensus; pair with Raft
R096	96	End-to-End Arguments in System Design	Saltzer, Reed, Clark	1984	TOCS	test	canonical	listed			cursor-after-apply (RFC-0024)
R097	97	The Adaptive Radix Tree: ARTful Indexing for Main-Memory Databases	Leis, Kemper, Neumann	2013	ICDE	ds	canonical	listed			MemTable alternative; keep BTreeMap until CPU-bound
R098	98	The Case for Learned Index Structures	Kraska, Beutel, Chi, Dean, Polyzotis	2018	SIGMOD	ds	canonical	listed			pair with Bourbon; likely refuse in SST
R099	99	Concurrency Control in Distributed Database Systems	Bernstein, Goodman	1981	ACM CSUR	tx	canonical	listed			2PL/OCC map for Montanha
R100	100	Dissecting, Designing, and Optimizing LSM-based Data Stores	Sarkar, Athanassoulis	2022	SIGMOD (tutorial)	engine	recent	listed		https://cs-people.bu.edu/mathan/publications/sigmod22-sarkar-tutorial.pdf	compact design space as a talk
